<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.15	15:00:00	0.69115	0.69121	0.68940	0.69014	6061	9033292000	21
2016.04.15	16:00:00	0.69015	0.69131	0.68939	0.68958	6007	7165035000	21
2016.04.15	17:00:00	0.68959	0.69186	0.68958	0.69049	9716	11152442000	21
2016.04.15	18:00:00	0.69052	0.69184	0.68991	0.69103	5840	8438640000	21
2016.04.15	19:00:00	0.69104	0.69247	0.69099	0.69183	3765	8559350000	21
2016.04.15	20:00:00	0.69184	0.69245	0.69081	0.69120	3694	3850250000	21
2016.04.15	21:00:00	0.69120	0.69180	0.69093	0.69159	3052	3849050000	21
2016.04.15	22:00:00	0.69161	0.69164	0.69103	0.69119	1356	2088450000	21
2016.04.15	23:00:00	0.69120	0.69175	0.69102	0.69163	1150	1223150000	21
2016.04.18	00:00:00	0.68747	0.68902	0.68716	0.68884	746	710521000	0
2016.04.18	01:00:00	0.68885	0.69153	0.68429	0.69045	3614	2370771000	21
2016.04.18	02:00:00	0.69046	0.69293	0.68757	0.68893	3833	2199857000	21
2016.04.18	03:00:00	0.68890	0.68975	0.68824	0.68836	4255	1951005000	21
2016.04.18	04:00:00	0.68837	0.69107	0.68837	0.69068	3529	2270692000	21
2016.04.18	05:00:00	0.69068	0.69194	0.68964	0.69079	3152	1464712000	21
2016.04.18	06:00:00	0.69082	0.69190	0.69074	0.69166	2684	2379598000	21
2016.04.18	07:00:00	0.69165	0.69230	0.69095	0.69217	2058	1406941000	21
2016.04.18	08:00:00	0.69217	0.69220	0.69109	0.69161	2999	3056030000	21
2016.04.18	09:00:00	0.69156	0.69161	0.68917	0.68965	6084	6783430000	21
2016.04.18	10:00:00	0.68963	0.69320	0.68934	0.69231	7156	6735133000	21
2016.04.18	11:00:00	0.69232	0.69394	0.69160	0.69309	6858	8114352000	21
2016.04.18	12:00:00	0.69309	0.69394	0.69253	0.69321	5689	6512576000	21
2016.04.18	13:00:00	0.69322	0.69364	0.69238	0.69331	4403	5238138000	21
2016.04.18	14:00:00	0.69331	0.69437	0.69328	0.69389	3740	3389142000	21
2016.04.18	15:00:00	0.69389	0.69519	0.69317	0.69370	6500	6762050000	21
